work_id,cad_type,measure,beat,offset_ql,soprano,prev_rn,cur_rn,root_position
K.279/i,PAC,3,1.0,8.0,C5,v5,I,True
K.279/i,PAC,5,1.0,16.0,C5,v5,i,True
K.279/i,PAC,5,2.0,17.0,C5,V,i,True
K.279/i,IAC,6,4.0,23.0,E5,v+#5,I,True
K.279/i,PAC,7,1.0,24.0,C4,v,i,True
K.279/i,PAC,7,2.0,25.0,C6,v,i,True
K.279/i,IAC,7,3.0,26.0,G#5,vb3,i+#5,True
K.279/i,IAC,8,4.0,31.0,G5,v#7,i5,True
K.279/i,PAC,9,1.5,32.5,C4,v,i,True
K.279/i,PAC,9,2.25,33.25,C5,v,i,True
K.279/i,PAC,11,1.75,40.75,C4,v,i,True
K.279/i,PAC,11,2.25,41.25,C5,v,i,True
K.279/i,PAC,12,3.0,46.0,C5,V7,I,True
K.279/i,IAC,15,1.0,56.0,E5,v7,I,True
K.279/i,IAC,20,3.0,78.0,E5,v5,I,True
K.279/i,IAC,20,4.0,79.0,G5,v#7,i5,True
K.279/i,IAC,21,3.0,82.0,E5,V,I,True
K.279/i,IAC,21,4.0,83.0,G5,v#7,i5,True
K.279/i,IAC,26,1.0,100.0,C5,V,I6,False
K.279/i,IAC,27,1.0,104.0,C5,V,I6,False
K.309/i,IAC,3,3.0,10.0,C#4,v,#i,True
K.309/i,PAC,8,1.0,28.0,C5,V,I,True
K.309/i,IAC,10,3.0,38.0,C#4,v,#i,True
K.309/i,IAC,29,1.5,112.5,C6,v52,i54,False
K.309/i,IAC,43,3.0,170.0,C6,v5,i2,False
K.309/i,IAC,44,1.0,172.0,E6,v,I,True
K.309/i,IAC,46,3.0,182.0,C6,v5,i2,False
K.309/i,IAC,47,1.0,184.0,E6,v,I,True
K.309/i,IAC,48,4.0,191.0,E6,v,I,True
K.309/i,IAC,49,2.0,193.0,C6,v,I6,False
K.309/i,IAC,49,4.0,195.0,E6,v,I,True
K.309/i,IAC,52,2.75,205.75,C6,V,i2,False
K.309/i,IAC,52,3.75,206.75,C6,V,i2,False
K.309/i,IAC,56,2.25,221.25,C5,V,i4,False
K.309/i,IAC,57,1.25,224.25,C6,V,i4,False
K.309/i,IAC,61,2.5,241.5,E-5,bVII#3,ib3,True
K.309/i,IAC,62,2.5,245.5,C6,bVII6,i6,False
K.309/i,IAC,76,2.75,301.75,C#6,bVII#3,#i6,False
K.309/i,PAC,77,4.75,307.75,C4,v,i,True
K.309/i,IAC,84,4.25,335.25,C5,#vb3,i+4,False
K.310/i,IAC,6,4.0,23.0,C5,bVII,i,True
K.310/i,IAC,9,1.0,32.0,E5,V,i5#43,True
K.310/i,IAC,13,3.5,50.5,C#5,v743,I#643,False
K.310/i,IAC,34,1.5,132.5,A5,v,i6,False
K.310/i,IAC,57,1.0,224.0,A#4,v,#io6b5b3,False
K.310/i,IAC,60,4.0,239.0,E5,v43[#7],#iob7b5,False
K.310/i,IAC,60,4.5,239.5,E5,v64,#iob7b5,False
K.310/i,IAC,61,1.0,240.0,A4,v64,I76#2,False
K.310/i,IAC,64,3.0,254.0,E5,V,i64,False
K.310/i,IAC,66,1.0,260.0,C#5,V75#3,I#3,True
K.310/i,IAC,67,3.75,266.75,C#6,Vo6b3,I75#3,False
K.310/i,IAC,68,1.0,268.0,A5,vo75b2,I7#3,False
K.310/i,IAC,75,2.0,297.0,A5,v6,i,False
K.310/i,IAC,75,2.75,297.75,A5,v,i2,False
K.310/i,PAC,77,2.75,305.75,A5,v,i,True
K.310/i,IAC,85,4.0,339.0,C5,bVII,i,True
K.310/i,IAC,88,1.0,348.0,C5,V,i,True
K.310/i,IAC,89,1.75,352.75,A5,v5,i4,False
K.310/i,IAC,89,2.25,353.25,A5,v5,i4,False
K.310/i,IAC,89,2.75,353.75,A5,v5,i4,False
K.330/i,PAC,12,1.0,22.0,C5,V7,I,True
K.330/i,IAC,13,2.0,25.0,C4,v7,i4,False
K.330/i,PAC,14,1.0,26.0,C5,V,i,True
K.330/i,IAC,15,2.0,29.0,C4,v7,i4,False
K.330/i,PAC,16,1.0,30.0,C5,V,i,True
K.330/i,IAC,19,2.0,37.0,C#5,v,#io4,False
K.330/i,IAC,20,1.25,38.25,E5,v+#5,I,True
K.330/i,IAC,23,2.0,45.0,C#5,v,#io4,False
K.330/i,IAC,24,1.25,46.25,E5,v+#5,I,True
K.330/i,IAC,26,1.88,50.875,C5,V,i4,False
K.330/i,IAC,27,1.0,52.0,G5,v,I5#43,True
K.330/i,IAC,27,1.5,52.5,G5,v,i5,True
K.330/i,IAC,27,2.0,53.0,G5,v,i5,True
K.330/i,IAC,27,2.88,53.875,C5,v5,i4,False
K.330/i,IAC,28,1.88,54.875,C5,V,i4,False
K.330/i,IAC,29,1.0,56.0,G5,v,I5#43,True
K.330/i,IAC,29,1.5,56.5,G5,v,i5,True
K.330/i,IAC,29,2.0,57.0,G5,v,i5,True
K.330/i,IAC,29,2.88,57.875,C5,v5,i4,False
K.330/i,IAC,33,2.0,65.0,G4,V64,i74,False
K.457/i,IAC,22,1.33,84.3333,E-5,V,i4,False
K.457/i,IAC,22,2.0,85.0,E-5,v5,i2,False
K.457/i,IAC,24,1.0,92.0,E-4,V,I6,False
K.457/i,IAC,25,1.0,96.0,G4,v+#5,I,True
K.457/i,IAC,26,1.0,100.0,E-4,V,I6,False
K.457/i,IAC,27,1.0,104.0,G4,v+#5,I,True
K.457/i,IAC,36,2.75,141.75,E-5,v5,i4,False
K.457/i,IAC,36,4.0,143.0,E-5,V,I6,False
K.457/i,IAC,41,3.0,162.0,G5,v+#5,I,True
K.457/i,IAC,42,2.0,165.0,E-4,v,i4,False
K.457/i,IAC,43,3.0,170.0,G4,v4,I,False
K.457/i,IAC,44,1.0,172.0,B-5,v,i5,True
K.457/i,PAC,59,1.0,232.0,E-5,V7,i,True
K.457/i,IAC,61,2.5,241.5,B-5,v,i5,True
K.457/i,IAC,63,2.75,249.75,E-5,V,i4,False
K.457/i,IAC,64,1.0,252.0,G5,v5,I,True
K.457/i,PAC,67,1.0,264.0,E-5,V7,I,True
K.457/i,PAC,69,1.0,272.0,E-5,v7,I,True
K.457/i,PAC,71,1.0,280.0,E-4,v7,I,True
K.457/i,PAC,72,1.0,284.0,E-5,v,i,True
K.545/i,PAC,2,3.0,6.0,C5,v5,i,True
K.545/i,IAC,3,4.0,11.0,C6,v,I6,False
K.545/i,IAC,4,3.0,14.0,E5,v7,I,True
K.545/i,IAC,13,1.0,48.0,C#4,v,#i,True
K.545/i,IAC,31,2.0,121.0,C3,v6,i,False
K.545/i,IAC,36,1.5,140.5,C5,#vb3,i+4,False
K.545/i,IAC,41,3.5,162.5,G4,vb754,ib75,False
K.545/i,IAC,41,4.75,163.75,E5,vb752,Ib753,False
K.545/i,IAC,45,2.17,177.1667,C6,vb3,i4,False
K.545/i,IAC,59,4.5,235.5,C5,v5,I6,False
K.545/i,IAC,60,1.38,236.375,C5,v5,i4,False
K.545/i,IAC,61,4.5,243.5,C5,v5,I6,False
K.545/i,IAC,62,1.38,244.375,C5,v5,i4,False
K.545/i,IAC,63,1.75,248.75,G5,v,i5,True
K.545/i,PAC,71,2.5,281.5,C5,v,i,True
K.545/i,PAC,72,1.0,284.0,C5,v7,I,True
K.545/i,PAC,72,2.5,285.5,C4,v,i,True
K.545/i,PAC,73,1.0,288.0,C4,v7,I,True
K.570/i,PAC,3,1.0,6.0,B-4,v,i,True
K.570/i,PAC,4,3.0,11.0,B-5,v,i,True
K.570/i,PAC,7,1.0,18.0,B-4,V7,I,True
K.570/i,PAC,8,3.0,23.0,B-5,v,i,True
K.570/i,PAC,11,1.0,30.0,B-4,V7,I,True
K.570/i,IAC,14,2.0,40.0,B-3,v,I6,False
K.570/i,IAC,16,1.0,45.0,C#5,V65,i5#2,False
K.570/i,IAC,18,2.0,52.0,B-3,v,I6,False
K.570/i,PAC,20,1.0,57.0,B-4,V7,I,True
K.570/i,IAC,45,1.0,132.0,F5,v,i5,True
K.570/i,IAC,57,1.5,168.5,B4,v5,#io4,False
K.570/i,IAC,59,1.5,174.5,B4,v5,#io4,False
K.570/i,IAC,61,1.5,180.5,B4,v5,#io4,False
K.570/i,IAC,65,1.75,192.75,B-5,V6,i62,False
K.570/i,IAC,70,3.0,209.0,D6,v5,I,True
K.570/i,PAC,71,3.0,212.0,B-5,v5,i,True
K.570/i,IAC,72,2.5,214.5,B-5,V,i2,False
K.570/i,IAC,118,3.5,353.5,D5,vb754,Ib753,False
K.570/i,PAC,135,1.0,402.0,B-4,v,i,True
K.570/i,PAC,136,3.0,407.0,B-5,v,i,True
K.576/i,PAC,2,1.0,0.5,D4,v,i,True
K.576/i,PAC,2,1.67,1.5,D4,v,i,True
K.576/i,IAC,4,1.0,6.5,D5,V42,I6,False
K.576/i,IAC,4,1.83,7.75,D5,V6,i62,False
K.576/i,IAC,4,2.0,8.0,F#5,V6,I,False
K.576/i,PAC,10,1.0,24.5,D3,v,i,True
K.576/i,IAC,11,1.5,28.25,D6,v5,i4,False
K.576/i,IAC,12,2.0,32.0,D5,v4,I6,False
K.576/i,PAC,17,1.0,45.5,D5,V7,i,True
K.576/i,PAC,17,2.0,47.0,D4,v,i,True
K.576/i,IAC,19,1.0,51.5,C#5,v5,i7,True
K.576/i,IAC,19,1.83,52.75,D5,v5,i4,False
K.576/i,IAC,21,2.33,59.5,D#5,V6,#iøb62,False
K.576/i,IAC,23,2.33,65.5,D#5,V6,#iøb62,False
K.576/i,IAC,27,1.67,76.5,F#5,v4,I,False
K.576/i,IAC,27,2.67,78.0,F#5,v4,I,False
K.576/i,IAC,35,1.33,100.0,D#4,v5,#io4,False
K.576/i,IAC,35,2.33,101.5,D#4,V,#iø4b3,False
K.576/i,IAC,37,1.33,106.0,D#4,v5,#io4,False
K.576/i,IAC,37,2.33,107.5,D#4,V,#iø4b3,False
