composer_name,title,song_length.bars,n_notes,rating,n_views,is_best_arrangement,metadata,mxl
Johannes Brahms,Waltz in Aâ Major Op.39 No.15 by Johannes Brahms,45,740,4.72,26174,False,./metadata/7/675591.json,./mxl/1/15/QmbdhTT7oHL9H9umVxoKgDJiCRCqGk7VmuS5eqpeURHxrU.mxl
Johannes Brahms,Brahms Intermezzo Op. 118 No. 2 (A Major) [unedited],125,1845,4.83,22661,False,./metadata/3/3378576.json,./mxl/8/6/QmQ7dQTkFbV7E6hpqVgqDa6SuK6nR7NpXEHQMv61cbcwoc.mxl
J. Brahms,Hungarian Dance No. 1,187,2926,4.79,13757,False,./metadata/0/1386646.json,./mxl/1/20/QmbFucTCUe3mSYQK7QicksWfvKQPPan7j5QNErZg6KFiL3.mxl
Johannes Brahms Op. 118 No. 2,Brahms- Intermezzo Op. 118 No. 2,125,1775,4.9,3312,True,./metadata/6/6067369.json,./mxl/3/49/QmdVeJb4QjMx5kcpVHjdd6AQVXwpsMzTUidvPtoo8GfdDn.mxl
Johannes Brahms op. 79 (Veröffentlicht 1880),Brahms B minor Rhapsody 1 Op. 79,290,4755,4.7,2206,False,./metadata/9/5555406.json,./mxl/16/26/QmYjvuTwKitx9oHahaKes7AE3RpMHfbYx7AHsVuST6JosS.mxl
Johannes Brahms1833-1897,Intermezzo (E Major) Op. 116 No. 4,72,993,4.79,1035,False,./metadata/2/4793044.json,./mxl/8/36/QmQp4aYX7v68aZyxMwiVqw8fCAsAkweQoRi8rKQB1c92X8.mxl
Johannes Brahms(1833-1897),Brahms - Ballade Op 10 No 1,73,1647,4.64,673,False,./metadata/8/6348501.json,./mxl/4/25/QmeiQHfME19zDJRRtzk4cWwxtqY4wWMug36kMbrb97gu3S.mxl
Johannes Brahms,Brahms - 51 Übungen für Klavier No. 1a,28,560,4.83,658,False,./metadata/9/59952.json,./mxl/14/13/QmWcnCykorpbiXXQe3Lknhb1mkEL3EDp4qiWsKZ7BMqeQa.mxl
J. Brahms,Brahms op. 39 n9,52,397,4.6,650,False,./metadata/5/6344963.json,./mxl/7/6/QmP72hCMtEN3AhRVvLodL3zak9gsktuiLJptYcwuv8p88p.mxl
Johannes Brahms Op 39 No.15,Waltz Op.39 No. 15,44,726,4.91,553,True,./metadata/3/5074759.json,./mxl/3/1/Qmd2eysotTFN8hAwzktvTf15hwWXxEwRXUTC5CeifKc9go.mxl
Johannes Brahms,Brahms - 51 Übungen für Klavier No. 1b,28,560,0.0,511,False,./metadata/3/59996.json,./mxl/17/43/QmZSp2nmXwQ5D1vkj4asEXZMHSmFSzErPdFgDF9wsoDNqk.mxl
Johannes Brahms,Brahms - 51 Übungen für Klavier No. 2a,28,1000,0.0,401,False,./metadata/1/59991.json,./mxl/15/29/QmXKJFe7sBouWRNDGA9uu88bzugbXTsBciy2MdhrpbG9kZ.mxl
Johannes Brahms,Intermezzo Op. 116 No. 2 (Johannes Brahms),85,1056,4.72,379,False,./metadata/2/6367778.json,./mxl/12/21/QmUgYFhqprnmF5QujhEqcA8zPnePUdujuJV8CwvD4c95MB.mxl
Johannes Brahms(1833-1897),Brahms - Ballade Op 10 No 3 - Intermezzo,163,1704,4.64,363,False,./metadata/0/6351390.json,./mxl/10/7/QmS84kJoadxZynoeAJwrdTiHVUnBtePB26JXEVZfyQZnYT.mxl
Brahms,Hungarian Dance No 5 pag.1,16,133,0.0,336,False,./metadata/7/5129016.json,./mxl/3/0/Qmd129e6mmy5t3eJP8DdJFw2SqESim6nnQnyobtV9ZFvmS.mxl
J. Brahms,Berceuse de Brahms,19,60,4.28,336,False,./metadata/6/6133013.json,./mxl/9/23/QmRh4PXFCxYFwGwTvVqdarA7bVmZa187znkyiLN1yYm4cp.mxl
Brahms,Brahms - 51 Übungen für Klavier No. 8a,11,176,0.0,330,False,./metadata/6/2582886.json,./mxl/6/25/QmNiYbVVDkcismEp4CJytwuVrJUagR6Mp3DHsTfHJ5qQqK.mxl
Johannes Brahms,Brahms - 51 Übungen für Klavier No. 18b,8,196,0.0,326,True,./metadata/0/59955.json,./mxl/12/8/QmU9g55NqhhoMDqa77osoQs6k9GqfxB23zKDhktdCzq1HE.mxl
Mildred and Patty Smith Hill/Johannes Brahms/F.J. Meca Guevara,Happy bithday lullaby Minuet,49,309,4.85,323,True,./metadata/0/6110190.json,./mxl/9/29/QmRKfX7Sg1EZbAGtW1VLXYLitXodbRkF2SsEQsk9h6uvBr.mxl
Johannes Brahms(1833-1897),Brahms - Ballade Op 10 No 2,150,2385,4.9,308,False,./metadata/9/6349938.json,./mxl/17/51/QmZWQbVD4e5eM8Vf9LRos1TmF8HFbg7QfTWm8EhjZTjD9n.mxl
Johannes Brahms(1833-1897),Brahms - Intermezzo in Bb,78,1090,4.49,269,False,./metadata/4/6108828.json,./mxl/0/43/QmaS26qLTNTwCgWQGXXhxNSNKys69RxaDs1VPSRySUjs2R.mxl
J. Brahms (18331897),Waltz Op.39 N 10,32,454,0.0,267,False,./metadata/4/3290476.json,./mxl/16/22/QmYGyXrZr23KUSiWzFpzbmwbRQdk6Y35dpjVQU7PD5yg56.mxl
Johannes Brahms,Hungarian Dance No 5 in F Minor,142,1740,0.0,249,False,./metadata/1/6170806.json,./mxl/17/0/QmZ1qBZMSQgS2kxTEPFhG8vgskcJMtMCPd7umwvjjCDgP4.mxl
Johannes Brahms,Brahms - 51 Übungen für Klavier No. 2b,28,776,0.0,235,False,./metadata/2/59993.json,./mxl/1/36/QmbpgUsRGdcTLza5xQNBt89BowzfZL6wJjR3yW14sMytU8.mxl
Johannes Brahms (1833-1897) Op.39 No.10,Waltz Op.39 No.10 Brahms Johannes,32,454,0.0,153,False,./metadata/2/5074549.json,./mxl/6/51/QmNWF14RRp8RsT2DF9jk8iwVGedn3oFJVagc98LmCBnuon.mxl
Johannes Brahms (Op.49 No.4 1868),Wiegenlied,17,54,0.0,31,False,./metadata/9/4800549.json,./mxl/7/34/QmPNDphJzmNpSi63aWLL71Qu7VerxNCahXwKdb8JPtyPYT.mxl
Johannes Brahms (Op.49 No.4 1868),Wiegenlied,17,54,0.0,28,False,./metadata/7/4965551.json,./mxl/9/38/QmRq9gnf3wgJYk8L5VuzkXxCD6RGQxJKVDiknjXenZZpD5.mxl
Johannes Brahms (Op.49 No.4 1868),Wiegenlied,17,54,0.0,23,False,./metadata/9/4802085.json,./mxl/10/47/QmSUpUn6pUms7Wxegb4vVUDeAbjCzrfraWNf47M5i1Pzdp.mxl
Johannes Brahms (Op.49 No.4 1868),Wiegenlied Jig,17,53,0.0,16,False,./metadata/8/4950904.json,./mxl/14/36/QmWp8kGykQqu57Vtv4Sx2kk97Faia6w7FDjNhUQeSPWDHE.mxl
Brahms,Brahms - the Little Dustman,19,61,0.0,12,False,./metadata/2/4945667.json,./mxl/5/1/Qmf2GddfXB3DxiYCbH74ocEC5tJe33gUCkkia2LpnmtCD3.mxl
Johannes Brahms (Op.49 No.4 1868),Wiegenlied,17,54,0.0,12,False,./metadata/9/4654008.json,./mxl/6/32/QmNMvW1d69hn3ErrPZezRFkZKn2EEYks6ZJAm3EdFtBjUK.mxl
Johannes Brahms (Op.49 No.4 1868),Wiegenlied,17,54,0.0,11,False,./metadata/8/4586614.json,./mxl/14/25/QmWikheENT9orh2M7RRhv4aMyAQxKcodkqVj2ufsS7bMra.mxl
Ex. 2 - f - Brahms - Sinfomia com Piano,Fundamentos da Composicao Musical - Schoenberg Arnold - Ex. 2 - f - Brahms - Sinfomia com Piano,11,16,0.0,10,False,./metadata/4/5897138.json,./mxl/15/50/QmXw1uhrApw5zzwdXoU81CjyTof55N7hLu7gTHHSszgmBC.mxl
Brahms,Brahms - the Little Dustman,19,61,0.0,8,False,./metadata/7/4833887.json,./mxl/3/38/QmdqkvXEtzdFRES6sDpY5wToDK5qErax9nNU3Yd9opuyh4.mxl
Brahms,Brahms - The Little Dustman,19,61,0.0,7,False,./metadata/1/4712272.json,./mxl/17/11/QmZbbukaNYW2ycBSKgoZDcLaAg5hf44ScLrvKKvzzkE93d.mxl
Brahms,Brahms - The Little Dustman,19,61,0.0,7,True,./metadata/4/5161606.json,./mxl/16/54/QmYy2XFTC5q1ioKqGpDzcDHgREuHFo1ycokzJRcQnsJbBx.mxl
