composer_name,title,song_length.bars,n_notes,rating,n_views,is_best_arrangement,metadata,mxl
Wolfgang Amadeus Mozart,Mozart - Piano Sonata No. 16 - Allegro,146,2566,4.81,161948,False,./metadata/8/539.json,./mxl/15/9/QmXaLndsVZvGL5n1saWern2cbW1Ze1kEKpeUofRBBmhT1D.mxl
Wolfgang Amadeus Mozart(1756-1791),Mozart: Minuet in F Major (K2) (easy),32,176,4.75,37088,False,./metadata/7/58882.json,./mxl/0/18/QmaENucP3iVPGGeUtgdj959VJEx116ke3SYH4X5s993nhN.mxl
W.A. Mozart,Piano Sonata No. 16 (K 545) Allegro by W.A. Mozart,146,2728,4.46,13179,False,./metadata/2/110272.json,./mxl/3/23/QmdhePFeDoAru2dQkCaFX2xZsR9Z3ag26Y8zL2pswPzDqq.mxl
W A Mozart,Polonaise W.A. Mozart,32,502,4.85,10094,True,./metadata/5/1226626.json,./mxl/4/3/Qme4on6zA599C2geDNg188XL745QLUyLZNQWuYNYvqVJn5.mxl
Wolfgang Amadeus Mozart (1756-1791),Mozart: Minuet in F (K. 2),32,176,4.69,7180,False,./metadata/0/2084571.json,./mxl/2/45/QmcTtaRJ7koYT6SdBGBdPE6pnBEQHgkvtHceStF7cGJeGr.mxl
Wolfgang Amadeus Mozart,Piano Sonata No 1 Mozart KV 279,734,10509,4.78,5157,False,./metadata/9/3192101.json,./mxl/10/54/QmSyodLkPUFGtnQwYZk41mHh3HkaLCbdceZ2LFKvvLXKBL.mxl
Wolfgang Amadeus Mozart eingerichtet von Carl Czerny,German Dance No.3 KV 605 - Piano Solo - Mozart,116,1206,4.77,4309,True,./metadata/4/2374551.json,./mxl/11/9/QmTadwBBLmyYgQMxzKLDKgZ9nuxexYioe9grhdjgp6oPfr.mxl
W. A. Mozart,Mozart Sonate No. 11 KV 331 Andante grazioso,36,480,4.72,3969,False,./metadata/9/445346.json,./mxl/1/37/QmbPit26hQ7TsjCqYvdibaGZJ3rBBf4TWk1uxWLguWpvW5.mxl
W. A. Mozart,Arie des Papageno,23,266,4.52,3241,True,./metadata/6/825076.json,./mxl/7/53/QmPXeDX6QxMNPHCNDoUGUkTYf5ZnHaBELsYHu1YyLfEk9Z.mxl
L. Mozart,Burlesque - G Major,17,149,4.64,3039,True,./metadata/1/1669456.json,./mxl/10/10/QmSAKUUM14Kdbhn8ZnsfvWjpoHGojgfpRLVPPUx9cfaTxa.mxl
W.A. Mozart,Thème du 1er mouvement de la sonate K.331,16,55,4.83,3024,True,./metadata/4/5744456.json,./mxl/4/42/QmeswnMFsq7kKrfJU2KHcucQ55D1psa3djU7BiYUptXPPR.mxl
Mozart,Mozart Sonata No.8 KV.310 1st,266,6552,4.74,2696,False,./metadata/5/5979450.json,./mxl/16/28/QmYkwGqdPV2gFv7GS3Lv59K6pvwbH7tzEbp2uPFvzBzFzz.mxl
W. A. Mozart,Mozart - Minuet & Trio - K. 1,81,611,4.79,2659,False,./metadata/5/309121.json,./mxl/5/14/QmfCULDvejZyShSRANTgFLGt4TudSaWNcuAfbV89RhdFPP.mxl
Wolfgang Amadeus Mozart (1756 - 1791),Wolfgang Amadeus Mozart - Morgen kommt der Weihnachtsmann,450,3773,4.83,2635,True,./metadata/5/82957.json,./mxl/3/40/QmdrhvsqisvZxSr1wEKJqZpYZYs1JpopTHz1Wp5WLoJ6BS.mxl
Wolfgang Amadeus Mozart,W.A. Mozart - Fantasia in C minor KV.475,21,465,4.26,2542,False,./metadata/7/3749231.json,./mxl/7/8/QmP9F78FRSdcpxrBdUuGazFJhpmWV1dtPstLZMnhpAgTYK.mxl
W. A. Mozart,W. A. Mozart Minuet in G Major K1e.,72,512,4.82,2352,True,./metadata/5/5847376.json,./mxl/10/43/QmSSZAHjALT7zf8hpZpLFXaBHB9ytuBETs4QbhvYDFSAaa.mxl
Wolfgang Amadeus Mozart(1756-1791),Mozart Fantasy in D minor K397,126,1654,4.8,2352,False,./metadata/1/5962353.json,./mxl/15/47/QmXUXkzJcmVDCpAi6QLW9PJGXT1yRFpF1CafihMAqWiMqN.mxl
W. A. MOZART,Mozart- Violin Sonata No. 21,382,3900,0.0,2347,False,./metadata/1/2562866.json,./mxl/17/22/QmZGoXQcWYmwLvBw7RpEuyYfCtSoHgpkUPqbv3Eax7GzoV.mxl
Wolfgang Amadeus Mozart,Komm lieber Mai,17,130,4.88,2300,True,./metadata/7/54670.json,./mxl/2/9/QmcanpWgvkPVJLshBC2JFT9byViifisDyi158smUGQogHX.mxl
W.A. Mozart,W.A. Mozart: Menuet,32,176,4.79,2180,True,./metadata/0/2932906.json,./mxl/17/10/QmZAwpKVi1GH5jQTXkgiM2G6DtS5GsAoDB6WuJY6MpmLhy.mxl
